Nama Kecamatan,Hubungan Sosial,Keamananan,Keharmonisan Keluarga,Kesehatan,Ketersediaan Waktu Luang,Lingkungan,Pekerjaan,Pendapatan,Pendidikan,Religi,Rumah dan Fasilitas Rumah
Andir,77.41,82.22,83.04,81.93,78.22,82.15,75.48,73.7,74.59,91.56,78.52
Antapani,73.12,74.4,73.12,72.12,70.73,74.01,72.22,71.83,69.74,86.81,72.52
Arcamanik,76.4,77.09,79.5,74.91,73.08,77.78,74.23,71.94,71.25,95.53,74.46
Astanaanyar,75.91,79.83,80.21,77.59,75.72,80.49,73.02,73.95,72.64,95.8,76.28
Babakan Ciparay,72.57,72.2,76.59,72.68,69.27,74.85,69.7,67.97,68.08,87.26,72.03
Bandung Kidul,77.43,78.59,79.22,76.5,77.03,78.13,75.46,74.48,74.71,95.83,78.07
Bandung Kulon,73.65,75.14,78.6,74.2,72.88,74.75,71.01,69.03,70.57,91.25,72.28
Bandung Wetan,71.62,73.22,73.77,71.02,68.3,75.35,74.54,67.56,65.93,78.43,71.74
Batununggal,76.87,78.63,77.29,76.44,74.38,76.44,71.4,70.98,72.92,87.31,73.22
Bojongloa Kaler,71.88,74.8,75.89,72.79,72.68,75.54,71.76,68.5,69.36,90.15,70.5
Bojongloa Kidul,75.22,77.78,79.31,76.1,73.68,78.58,74.34,71.78,70.61,90.94,75.8
Buahbatu,72.12,78.12,76.4,73.08,74.67,78.61,73.98,70.88,71.5,84.61,72.53
Cibeunying Kaler,74.23,78.01,75.6,74.68,75.26,79.61,74.57,73.2,72.74,84.31,74.57
Cibeunying Kidul,75.47,80,80.33,77.28,77.45,78.85,74.81,72.92,72.67,95.39,76.79
Cibiru,76.7,80.56,79.75,77.06,78.76,79.39,74.46,72.31,74.19,91.22,75.09
Cicendo,76.43,81.9,82.14,81.51,74.84,80.32,76.98,72.7,69.6,90.56,75.24
Cidadap,71.17,74.32,77.18,74.62,65.77,74.02,68.02,68.62,63.21,87.24,72.37
Cinambo,68,72.89,66.22,67.56,68.44,72.89,68,65.78,66.67,99.56,67.56
Coblong,73.88,76.19,78.5,72.8,69.48,77.92,71.36,67.68,65.95,92.21,69.26
Gedebage,64.98,70.05,62.8,64.01,64.25,68.84,63.29,56.76,60.63,89.37,61.84
Kiaracondong,76.77,80.99,81.05,78.25,78.25,81.22,75.22,73.38,73.38,93.64,76.23
Lengkong,75.11,75.78,77.78,75.11,73.33,78.56,76.22,73.33,72.44,87.89,73.78
Mandalajati,68.74,73.38,71.92,70.57,70.7,71.67,74.97,61.05,63.13,77.29,65.81
Panyileukan,63.89,72.98,72.22,68.69,67.42,75.51,67.68,62.12,66.16,95.71,62.37
Rancasari,81.58,79.98,83.26,81.2,78.92,80.97,80.82,78.23,78.46,97.03,79.22
Regol,79.65,84.07,82.4,79.25,80.04,85.64,77.58,76.2,76.11,88.89,80.53
Sukajadi,73.12,76.99,77.2,74.55,73.98,77.85,72.62,69.96,70.04,87.74,71.97
Sukasari,73.86,73.86,77.88,71.43,66.14,73.33,68.68,68.36,67.94,88.99,71.64
Sumur Bandung,74.97,69.69,75.09,72.81,72.87,75.96,71.82,65.71,65.9,86.91,71.27
Ujungberung,67.36,78.21,73.61,70.31,69.53,76.82,70.49,61.2,67.1,88.19,65.97